BERT,"If there were a middle finger emoji, I would use it so often when talking to one certain person."
BERT,\@ItsHeavensWorld: This emoji \\ will forever be in my recents\
RNN,I swear emojis were made for black people. Like on the real.. what was the  emoji REALLY supposed to be used for?
RNN,@kakddlovato \u00a1amo ese emoji!
RNN,You really like that emoji @camerondallas
BERT,@77_angi @dball_63 I have created an emoji monster
CNN,So the boredum strikes again. About to do some dm emoji things
BERT,I love this emoji
BERT,I over use this emoji> '' and this one>'' it's really bad
RNN,@carolineeee_xo there is no cookie emoji!
RNN,@cjdiego download Emoji app
CNN,Emoji convos with #dk while sitting right in front of him bahah
RNN,@UtschR5 @fuzzyton @fearless_colors i did the wrong emoji
RNN,If you wanna have a conversation with me don't text me first with a emoji
RNN,\I didn't have friends before twitter and still don't\ that's when I'll break out my special emoji
BERT,"i swear i use this \\ emoji more than, i use this \\ emoji."
BERT,"@thizdirection Ooi,amorzinho pode dar rt aqui? por favor  Agrade\u00e7o PS:rt no link abaixo do emoji!\nhttps://twitter.com/helpaskingof/status/678959524984803328\u00a0\u2026"
BERT,@greena31  Emoji it
RNN,I wanna do that emoji thing but nobody ever sends me any
BERT,@yungbchapa whats the emoji
RNN,this emoji is me af
BERT,En los \u00faltimos 6 meses has...\n\n1- si \n2- si \n3- si \n4- si \n5- si \n6- si \n7- si \n8- si \n9- si \n10- si \n11- re si \n12- quiz\u00e1 \n13- nop \n14- no y menos mal \n15- creer\u00eda que no \n16- nop\n17- \n18- sip\n19- nop \n\nComenta un emoji y te mando las preguntas
RNN,in the last six months you...\n\n1- yes\n2- yes\n3- mmm no\n4- on the cheek\n5- yes\n6- no\n7- oh fuck yea\n8- almost every weekend \n9- yes\n10- yes\n11- no\n12- no\n13- yes\n14- yes...\n15- no\n16- kinda\n17- yes\n18- yes\n19- would only kiss her\n\ndrop an emoji and i\u2019ll send u the questions
BERT,stole this from the tl \n\nreply with an emoji and i'll make you a character based off of your layout pic.twitter.com/ooYnDBeHuJ
RNN,in six months you already...\n\n1-Yes\n2-Yes\n3-Yes\n4-No\n5-Yes\n6-Yes\n7-Yes\n8-No\n9-Yes\n10-Yes\n11-No\n12-Yes\n13-Yes\n14-No\n15-No\n16-No\n17-yes\n18-Yes\n19-Maybe \n\ndrop an emoji and i\u2019ll send u the questions.
BERT,"\n\nsaia do Twitter por trinta minutos e deixe que seus seguidores comentem algo especial pra voc\u00ea: uma mensagem carinhosa, emoji, foto, gif, m\u00fasicas, frases, poema [...] namoral to precisando \n\n\nse flopar eu apago"
BERT,\u201c\u201d el emoji favorito
BERT,in the last six months have you...\n\n1- no\n2- yes\n3- no\n4-yes\n5- no\n6-yes\n7- yes\n8- probably \n9- yes\n10- yes\n11- yes\n12- yes\n13- no\n14- no\n15- yes\n16- probably\n17- probably \n18- yes\n19-nah she not like that\n\ndrop an emoji and i\u2019ll send u the questions
BERT,You know what sucks is when you have an android and all you wanna do is use that emoji but you can't
BERT,*insert broom emoji* perfect 3 day weekend to watch some baseball  https://twitter.com/alannarizzo/status/771850533363527680\u00a0\u2026
CNN,so queria entender o que \u00e9 esse emoji
BERT,<@GeniAnahi in emoji form
BERT,Yeah  RT @SHAYBUTTER__: Wait a second... Did Kaela just do emoji's?
BERT,@adeezy_f_baby love you.  that's an emoji blowing a kiss by the way. Hehe
BERT,@_Young_dread how ? it was more than what I tweeted !!! I don't jump on your case or emoji you when them floozies come at you on twitter
KNN,BEACH#EMOJI
BERT,@standexari nyahahahaha alam na yung emoji ok lang tanggap ko naman na mataba ako
CNN,They took away the Shidd emoji?
BERT,Send me emoji's
BERT,This emoji is starting to annoy me
CNN,SEND ME EMOJI'S
BERT,I dig this emoji
RNN,this new tomato emoji makes me so happy @lutz517 get ready for the amount of times you'll get this one #AllergiesAreFunny
CNN,this band is reclaiming the  emoji. it's ours now.
BERT,Just got so confused because they changed the SOS emoji from blue to red about 4 months ago hahahah
BERT,my bad my G  \nHaven't found that emoji yet
BERT,Using the emoji doesn't make your tweet true.. it can still be dumb
BERT,wrong purple emoji
BERT,Infinite  emoji pic.twitter.com/iyQWNhXvTp
BERT,He deadass got salty at me for taking back the heart emoji bc it was a typo  pic.twitter.com/4WiJA4CYzn
BERT,Describe Your Day With An Emoji
RNN,"Hey @PaneraBread, what's my #MacAlterEgo? (FYI friends: tap below to find out yours!) My fave emoji is"
BERT,d\u00eaem fav pra eu dar um emoji\n fav\nicon lindo\n header linda\n pack linda\n tudo lindo\n amo os tweets\n queria ser mais pr\u00f3ximo\n vamo amigar?\n crush\n stalkeio sempre \n\nda fav a\u00ed galera eu to num t\u00e9dio absurdo
BERT,Why is there not a margarita emoji??? I just realized this when I\u2019m texting my brother about our Noles losing after being up a lot in the 3rd quarter only to quit playing. Plus the whole Kavanaugh thing. I need a drink and wanted to include an emoji and there wasn\u2019t one.
BERT,"Tell me in emoji: are you team PSL (and all things pumpkin spice) or nah? \nMe?  My husband, on the other hand... https://www.instagram.com/p/BonB2kqAapi/\u00a0pic.twitter.com/HsZu8K334E"
RNN,I use the  emoji so recklessly
RNN,Emoji game is  and you know I'm rooting for my girl @trixiemattel https://twitter.com/glaad/status/956639145685929987\u00a0\u2026
BERT,Idk what your emoji is doing remember
CNN,\u2800 \u2800      \n\u3000     \n\u3000\u3000\n  \n  \u3000  \u3000\n\u3000   \u3000  \n\u3000    \n\nHowdy! I'm the pouting face sheriff!
BERT,Tens o emoji do manguito? PARTY
BERT,This is my favorite emoji.
CNN,Wait namjoonie\u2019s favorite emoji is  and jungkookie has that emoji tattooed??? Oh noooo
BERT,o emoji de manga \u00e9 t\u00e3o bonito
BERT,"VAMOS AUMENTAR SEUS SEGUIDORES..\n\n1\u00b0 - ME SIGA PRA EU TE SEGUIR DE VOLTA..\n2\u00b0 - Retwittar esse tweet..\n3 - Comenta um emoji, todos que der fav, voc\u00ea segue.\n4- siga todos que FAV esse tweet\n\n           comenta um emoji\n RT PARA ESPALHAR"
BERT,Can I suck you \n\neven the emoji was lurking around I'm dead
BERT,\u201c@YOUknow_Styx: *inserts eyes emoji* RT @Shaesosavage: It's gon tak every bit of energy for me to cook tonight....\u201d
BERT,i think  is like my favorite emoji. i always use it.
BERT,@xlizajones oi last mention..ur emoji init..
BERT,This \  \ is the best emoji idc idc idc
RNN,that emoji explains you so well because you're real af. you got me hooked on Gates and I've loved you ever since I met you.
BERT,I'm mad they don't got a foot emoji
BERT,@_imagiNAEtion_  chilling how tf i get emoji in my profile name
BERT,That emoji was great lol \@cirquesolay: RT @TattedJB: @cirquesolay Lmao hahaha you better embrace that shit lol\
CNN,My face be like this all day I think they made this emoji for me \\
CNN,I'm in a very Emoji mood right now.
BERT,@GeeeriosoBitchk that one emoji was the mountain  get your stuff right !
BERT,When I put this emoji  I'm really cryin lol
RNN,You better believe that I'm going to use emoji if you have an iPhone too.
BERT,\u32db #coolemoji
BERT,Keepin it ..right? @Emily_Ann_Flo #coolemoji
RNN,#coolemoji
RNN,Today is  #coolemoji
BERT,happy birthday to kylie even tho your basic  #kyliejenner #coolemoji #muchluv #kyliepic.twitter.com/SngNavGKKT
BERT,@Michael5SOS I'd actually buy you a McDonalds restaurant for you if you followed me. Js.  #CoolEmoji #CuzImNot
RNN,When one of your good friends just totally forgets about you and then moves on to one of your other friends ..... #coolemoji
RNN,coolemoji* | nice emoji  & I've talked to you a bit before and you're nice & chilll
CNN,"@dinoandpete  you guys have honestly made my morning  I wasn't ready for the photo, have you even seen whats coming out my head #CoolEmoji"
RNN,@JakeNelson7  K  #coolemoji
BERT,@cory_english thank you babe #coolemoji
BERT,Wow so noone wants to reply  *coolemoji
RNN,My bro has the cool emoji \n#Pokemon #acnl #kawaii #anime #gamer #gamergirl #fangirl #mlp #pastel #pixel #coolemoji\u2026 pic.twitter.com/Ncbwy4vFeK
BERT,Green. YELLOW. Red.  #coolemoji #iphonebattery\u2026 https://www.instagram.com/p/-xK3LcKUj-qrUbBlrKiBAUQCt4EwthhDPJdjU0/\u00a0\u2026
BERT,"set me on fire, Choose a coolemoji. I'll favorite and follow the best ones. http://firefire.wtf/sorryimalex\u00a0"
BERT,iOS 9.1 has some cool emoji like the finger flipping off one. To bad no one will see that until it's released. #coolemoji #comeingsoon  #
BERT,*coolemoji* you have no life but ilysm we neeeed to chill asap
RNN,#CoolEmoji
RNN,hahahahahahhahahahahahha #dying #coolemoji
CNN,"*coolemoji*- you're a cutie, text me"
BERT,@BTS_twt #BTS #\ubc29\ud0c4\uc18c\ub144\ub2e8 #coolemoji #hello #imhere #pleaseloveme #iloveyou #ihada6hournapandnowimbeingfoolish
BERT,\u00bfA qui\u00e9n le regalar\u00edas una caja llena de #Emojis? \n#InLoveEmoji #FunnyEmoji #CoolEmoji pic.twitter.com/Byhs1C5BS5
BERT,Just having a pink party with a cool emoji #coolemoji #emojibracelet #fashionista\u2026 https://www.instagram.com/p/BSM0MbSDJir/\u00a0
CNN,#TeamFujitsu #ucisa17  #CoolEmoji pic.twitter.com/OSrzfIkx8Z
