emoji,emoji utf,emotion,,emotions list
😔 , b'\xf0\x9f\x98\x94',sad,,happy
🐶 , b'\xf0\x9f\x90\xb6',loving,,sad
🔥 , b'\xf0\x9f\x94\xa5',awesome,,excited
🤩 , b'\xf0\x9f\xa4\xa9',excited,,loving
🙏 , b'\xf0\x9f\x99\x8f',thankful,,approval
🤢 , b'\xf0\x9f\xa4\xa2',sick,,disapproval
🙂 , b'\xf0\x9f\x99\x82',happy,,funny
❤️ , b'\xe2\x9d\xa4\xef\xb8\x8f',loving,,tired
💕 , b'\xf0\x9f\x92\x95',loving,,angry
😊 , b'\xf0\x9f\x98\x8a',happy,,thankful
😂 , b'\xf0\x9f\x98\x82',funny,,relaxed
😁 , b'\xf0\x9f\x98\x81',happy,,materialistic
✅ , b'\xe2\x9c\x85',approval,,hungry
🎉 , b'\xf0\x9f\x8e\x89',hungry,,awesome
😩 , b'\xf0\x9f\x98\xa9',sad,,sick
🤔 , b'\xf0\x9f\xa4\x94',opinion,,opinion
🤧 , b'\xf0\x9f\xa4\xa7',sick,,else
😷 , b'\xf0\x9f\x98\xb7',sick,,scared
👀 , b'\xf0\x9f\x91\x80',approval,,embarresed
🤗 , b'\xf0\x9f\xa4\x97',loving,,appreciation
😡 , b'\xf0\x9f\x98\xa1',angry,,confused
♥️ , b'\xe2\x99\xa5\xef\xb8\x8f',loving,,surprised
❤ , b'\xe2\x9d\xa4',loving,,
🇺 , b'\xf0\x9f\x87\xba',else,,
🤣 , b'\xf0\x9f\xa4\xa3',funny,,
👎 , b'\xf0\x9f\x91\x8e',disapproval,,
🙃 , b'\xf0\x9f\x99\x83',happy,,
💀 , b'\xf0\x9f\x92\x80',sick,,
🙄 , b'\xf0\x9f\x99\x84',opinion,,
👍 , b'\xf0\x9f\x91\x8d',approval,,
🔴 , b'\xf0\x9f\x94\xb4',else,,
👌 , b'\xf0\x9f\x91\x8c',approval,,
👏 , b'\xf0\x9f\x91\x8f',approval,,
▶ , b'\xe2\x96\xb6',else,,
😭 , b'\xf0\x9f\x98\xad',sad,,
🇮🇹 , b'\xf0\x9f\x87\xae\xf0\x9f\x87\xb9',else,,
📻 , b'\xf0\x9f\x93\xbb',materialistic,,
😉 , b'\xf0\x9f\x98\x89',funny,,
📷 , b'\xf0\x9f\x93\xb7',materialistic,,
💛 , b'\xf0\x9f\x92\x9b',loving,,
✨ , b'\xe2\x9c\xa8',else,,
🎶 , b'\xf0\x9f\x8e\xb6',else,,
☀️ , b'\xe2\x98\x80\xef\xb8\x8f',relaxed,,
🔝 , b'\xf0\x9f\x94\x9d',approval,,
💯 , b'\xf0\x9f\x92\xaf',approval,,
☺️ , b'\xe2\x98\xba\xef\xb8\x8f',happy,,
🤷 , b'\xf0\x9f\xa4\xb7',thinking,,
💔 , b'\xf0\x9f\x92\x94',sad,,
😍 , b'\xf0\x9f\x98\x8d',loving,,
😻 , b'\xf0\x9f\x98\xbb',loving,,
😘 , b'\xf0\x9f\x98\x98',loving,,
✊ , b'\xe2\x9c\x8a',approval,,
🚨 , b'\xf0\x9f\x9a\xa8',scared,,
⚡ , b'\xe2\x9a\xa1',excited,,
♥ , b'\xe2\x99\xa5',loving,,
💙 , b'\xf0\x9f\x92\x99',loving,,
😤 , b'\xf0\x9f\x98\xa4',angry,,
😎 , b'\xf0\x9f\x98\x8e',happy,,
💜 , b'\xf0\x9f\x92\x9c',loving,,
☀ , b'\xe2\x98\x80',excited,,
😱 , b'\xf0\x9f\x98\xb1',scared,,
‼️ , b'\xe2\x80\xbc\xef\xb8\x8f',else,,
🤦 , b'\xf0\x9f\xa4\xa6',opinion,,
🤓 , b'\xf0\x9f\xa4\x93',opinion,,
😅 , b'\xf0\x9f\x98\x85',embarresed,,
🏀 , b'\xf0\x9f\x8f\x80',excited,,
🖤 , b'\xf0\x9f\x96\xa4',loving,,
🏆 , b'\xf0\x9f\x8f\x86',approval,,
📸 , b'\xf0\x9f\x93\xb8',materialistic,,
📍 , b'\xf0\x9f\x93\x8d',else,,
💞 , b'\xf0\x9f\x92\x9e',loving,,
🌟 , b'\xf0\x9f\x8c\x9f',excited,,
😏 , b'\xf0\x9f\x98\x8f',opinion,,
💩 , b'\xf0\x9f\x92\xa9',disapproval,,
🧐 , b'\xf0\x9f\xa7\x90',opinion,,
👇 , b'\xf0\x9f\x91\x87',else,,
✔ , b'\xe2\x9c\x94',approval,,
💓 , b'\xf0\x9f\x92\x93',loving,,
👻 , b'\xf0\x9f\x91\xbb',scared,,
🤪 , b'\xf0\x9f\xa4\xaa',funny,,
😌 , b'\xf0\x9f\x98\x8c',relaxed,,
✌ , b'\xe2\x9c\x8c',approval,,
🏰 , b'\xf0\x9f\x8f\xb0',materialistic,,
☺ , b'\xe2\x98\xba',happy,,
😀 , b'\xf0\x9f\x98\x80',happy,,
🎄 , b'\xf0\x9f\x8e\x84',else,,
🥰 , b'\xf0\x9f\xa5\xb0',else,,
😆 , b'\xf0\x9f\x98\x86',funny,,
😓 , b'\xf0\x9f\x98\x93',sad,,
💗 , b'\xf0\x9f\x92\x97',loving,,
😒 , b'\xf0\x9f\x98\x92',disapproval,,
💫 , b'\xf0\x9f\x92\xab',excited,,
😐 , b'\xf0\x9f\x98\x90',disapproval,,
💘 , b'\xf0\x9f\x92\x98',loving,,
🌸 , b'\xf0\x9f\x8c\xb8',loving,,
💖 , b'\xf0\x9f\x92\x96',loving,,
🐭 , b'\xf0\x9f\x90\xad',else,,
😋 , b'\xf0\x9f\x98\x8b',happy,,
😄 , b'\xf0\x9f\x98\x84',happy,,
🤙 , b'\xf0\x9f\xa4\x99',approval,,
🌊 , b'\xf0\x9f\x8c\x8a',excited,,
🏝 , b'\xf0\x9f\x8f\x9d',relaxed,,
🥴 , b'\xf0\x9f\xa5\xb4',else,,
🥺 , b'\xf0\x9f\xa5\xba',else,,
🎵 , b'\xf0\x9f\x8e\xb5',else,,
💸 , b'\xf0\x9f\x92\xb8',materialistic,,
🏖 , b'\xf0\x9f\x8f\x96',relaxed,,
🌞 , b'\xf0\x9f\x8c\x9e',relaxed,,
🌴 , b'\xf0\x9f\x8c\xb4',relaxed,,
❣ , b'\xe2\x9d\xa3',loving,,
⭐ , b'\xe2\xad\x90',excited,,
👉 , b'\xf0\x9f\x91\x89',else,,
😛 , b'\xf0\x9f\x98\x9b',happy,,
💪 , b'\xf0\x9f\x92\xaa',approval,,
😃 , b'\xf0\x9f\x98\x83',happy,,
😞 , b'\xf0\x9f\x98\x9e',sad,,
🙌 , b'\xf0\x9f\x99\x8c',approval,,
😪 , b'\xf0\x9f\x98\xaa',disapproval,,
😴 , b'\xf0\x9f\x98\xb4',tired,,
☑ , b'\xe2\x98\x91',approval,,
📢 , b'\xf0\x9f\x93\xa2',else,,
🇺🇸 , b'\xf0\x9f\x87\xba\xf0\x9f\x87\xb8',else,,
🇨🇳 , b'\xf0\x9f\x87\xa8\xf0\x9f\x87\xb3',else,,
👑 , b'\xf0\x9f\x91\x91',materialistic,,
😢 , b'\xf0\x9f\x98\xa2',sad,,
😫 , b'\xf0\x9f\x98\xab',sad,,
💋 , b'\xf0\x9f\x92\x8b',loving,,
